DATE,avg_weekly_earnings,CPI_index,unemp_rate,emp_rate,index
2006 Apr,2.63782643102084,0.8508508508508372,-6.25,-7.894736842105255,-1.8502992310128419
2006 May,-2.331591421799606,0.496277915632759,-2.2222222222222143,-2.857142857142847,1.3887811632916636
2006 Jun,0.779182808274248,0.19753086419753707,9.090909090909083,11.76470588235292,3.471672555467631
2006 Jul,2.0801299718587796,0.29571217348447476,4.166666666666674,5.263157894736836,-2.977145741245313
2006 Aug,-1.3613368953561134,0.19656019656020263,-8.000000000000007,-10.000000000000009,3.442904939612501
2006 Sep,0.5575244187051576,-0.49043648847474364,-4.347826086956507,-5.555555555555536,-0.9652170240435076
2006 Oct,1.9612899528660188,-0.5421389847215297,-6.818181818181834,-8.82352941176473,-1.1582031288741468
2006 Nov,-1.4907966839960651,-0.14866204162538033,4.878048780487809,6.451612903225823,-1.208398889031581
2006 Dec,1.0768945499151306,0.14888337468983437,0,0,0.9994261425096296
2007 Jan,-1.023086475502366,0.30525272547075044,16.279069767441868,21.212121212121215,-1.0755175205273582
2007 Feb,0.6829296112006,0.5350367559876723,-1.9999999999999907,-2.499999999999991,1.5159955677994663
2007 Mar,0.4913761363958269,0.9105695851085338,-8.163265306122458,-10.256410256410264,1.0937060332077086
2007 Apr,2.04466990770098,0.6496162686508988,-4.444444444444451,-5.714285714285716,-0.8594961096335507
2007 May,-1.62256959787892,0.6110718674704696,0,0,0.9145062086109323
2007 Jun,0.5839334091323867,0.19379751766057662,9.302325581395365,12.121212121212132,2.9702352723359304
2007 Jul,1.6941820059449775,-0.02543772078021922,4.255319148936176,5.405405405405417,-3.120321608890586
2007 Aug,-1.5712697781010365,-0.18339022270870142,-6.122448979591855,-7.692307692307709,3.2591316326723074
2007 Sep,2.470512784764245,0.2755907405358915,-2.1739130434782483,-2.777777777777768,-0.493172383499918
2007 Oct,-1.95107349859861,0.2139191328121237,-2.2222222222222143,-2.857142857142847,-1.555623814325846
2007 Nov,0.28585701598580204,0.5939617873415681,2.2727272727272707,2.941176470588225,-0.47999795912561094
2007 Dec,2.5653798256537907,-0.0670863129647814,6.666666666666665,8.571428571428562,0.09563443588993525
2008 Jan,-2.3447196589498676,0.4970576472604682,12.500000000000021,15.789473684210531,-0.6296977391753167
2008 Feb,0.32879286049789513,0.29041121849535667,-3.703703703703709,-4.545454545454552,-0.2124188189394638
2008 Mar,2.5267129323639503,0.8668212930989627,0,0,0.3240248213741248
2008 Apr,-1.5686485179763454,0.6064778389719416,-7.692307692307699,-9.523809523809534,-1.311913661229236
2008 May,-0.14053567286569368,0.8420886031756281,8.333333333333348,10.526315789473696,-0.34502997316211426
2008 Jun,2.134229655134723,1.0076996934894167,9.615384615384626,11.904761904761907,2.66187180731432
2008 Jul,-1.6200668896321102,0.5251011128121874,5.263157894736836,6.382978723404253,-2.638551924732724
2008 Aug,0.8186132528318346,-0.39915622556417896,1.6666666666666607,2.0000000000000018,0.6871336193872146
2008 Sep,0.006743906880135597,-0.13830185406644713,-1.6393442622950727,-1.9607843137254832,-5.093323409780714
2008 Oct,0.13756642300326583,-1.010133328457874,1.6666666666666607,2.0000000000000018,-0.2931296358172575
2008 Nov,1.7428078870811214,-1.9152895328595876,6.557377049180335,7.843137254901977,-2.142511306142214
2008 Dec,-1.4534960684122633,-1.0342473814287434,9.23076923076922,10.909090909090914,-2.244298509526521
2009 Jan,-0.4782118102197752,0.4352417375421025,19.718309859154925,22.95081967213115,-2.8110164172110985
2009 Feb,1.9706295216499248,0.49729330359047363,4.705882352941182,5.3333333333333455,-0.8498329101603752
2009 Mar,-0.29385291470324093,0.24317484554154944,1.1235955056179803,1.2658227848101111,-1.07374715163997
2009 Apr,-1.5797998035206984,0.2496368277788097,-4.444444444444451,-5.000000000000004,-2.6768139294946813
2009 May,-0.11060753210316854,0.2888763834177466,5.813953488372103,6.578947368421062,0.23381879817374607
2009 Jun,-0.11073000783211606,0.8589892263953347,6.593406593406592,7.407407407407396,2.6104513120586814
2009 Jul,0.5245227924079332,-0.15855869221532704,0,0,-0.627584777218404
2009 Aug,2.21759010220548,0.2242850044810618,-1.0309278350515427,-1.1494252873563204,3.533943243400728
2009 Sep,-1.5721822415766584,0.06254806934959944,-1.041666666666663,-1.1627906976744096,-0.842551495824384
2009 Oct,0.5680754938915067,0.0963101185818438,0,0,-0.46089854782901396
2009 Nov,2.001621499488304,0.07077533687673832,-1.0526315789473606,-1.17647058823529,-0.3820589670950225
2009 Dec,-1.4346211479575155,-0.1761198169463296,3.1914893617021267,3.5714285714285587,0.8477603328303607
2010 Jan,0.28422611178677837,0.34174735701484327,9.278350515463929,10.344827586206895,0.9862830818621715
2010 Feb,-0.0316376435228527,0.024920738207656612,-1.8867924528301772,-2.083333333333326,0.05440824847033898
2010 Mar,0.19384189358475634,0.4106283536571276,-1.9230769230769384,-2.1276595744680993,1.2068917089393505
2010 Apr,0.815982732752496,0.1736884910697345,-6.8627450980392135,-7.608695652173902,-1.0838179967295747
2010 May,1.4908226939244429,0.0775197354237811,-2.1052631578947323,-2.35294117647058,1.9725397684039025
2010 Jun,-2.0130170817040605,-0.09762670846739097,3.2258064516129004,3.6144578313252795,3.05499609293316
2010 Jul,0.6077790467189148,0.02110430573716293,1.041666666666674,1.1627906976744207,-1.6796814927464432
2010 Aug,2.0510947000339286,0.13806642784079948,-2.0618556701030855,-2.298850574712641,2.8167361835245153
2010 Sep,-1.467767918786922,0.058173623071566816,-3.157894736842115,-3.529411764705892,-1.154481645347627
