DATE,Series,Values
2008 May,unemp_rate,8.333333333333348
2008 May,emp_rate,10.526315789473696
2008 May,index,-0.34502997316211426
2008 Jun,avg_weekly_earnings,2.134229655134723
2008 Jun,CPI_index,1.0076996934894167
2008 Jun,unemp_rate,9.615384615384626
2008 Jun,emp_rate,11.904761904761907
2008 Jun,index,2.66187180731432
2008 Jul,avg_weekly_earnings,-1.6200668896321102
2008 Jul,CPI_index,0.5251011128121874
2008 Jul,unemp_rate,5.263157894736836
2008 Jul,emp_rate,6.382978723404253
2008 Jul,index,-2.638551924732724
2008 Aug,avg_weekly_earnings,0.8186132528318346
2008 Aug,CPI_index,-0.39915622556417896
2008 Aug,unemp_rate,1.6666666666666607
2008 Aug,emp_rate,2.0000000000000018
2008 Aug,index,0.6871336193872146
2008 Sep,avg_weekly_earnings,0.006743906880135597
2008 Sep,CPI_index,-0.13830185406644713
2008 Sep,unemp_rate,-1.6393442622950727
2008 Sep,emp_rate,-1.9607843137254832
2008 Sep,index,-5.093323409780714
2008 Oct,avg_weekly_earnings,0.13756642300326583
2008 Oct,CPI_index,-1.010133328457874
2008 Oct,unemp_rate,1.6666666666666607
2008 Oct,emp_rate,2.0000000000000018
2008 Oct,index,-0.2931296358172575
2008 Nov,avg_weekly_earnings,1.7428078870811214
2008 Nov,CPI_index,-1.9152895328595876
2008 Nov,unemp_rate,6.557377049180335
2008 Nov,emp_rate,7.843137254901977
2008 Nov,index,-2.142511306142214
2008 Dec,avg_weekly_earnings,-1.4534960684122633
2008 Dec,CPI_index,-1.0342473814287434
2008 Dec,unemp_rate,9.23076923076922
2008 Dec,emp_rate,10.909090909090914
2008 Dec,index,-2.244298509526521
2009 Jan,avg_weekly_earnings,-0.4782118102197752
2009 Jan,CPI_index,0.4352417375421025
2009 Jan,unemp_rate,19.718309859154925
2009 Jan,emp_rate,22.95081967213115
2009 Jan,index,-2.8110164172110985
2009 Feb,avg_weekly_earnings,1.9706295216499248
2009 Feb,CPI_index,0.49729330359047363
2009 Feb,unemp_rate,4.705882352941182
2009 Feb,emp_rate,5.3333333333333455
2009 Feb,index,-0.8498329101603752
