DATE,real_gdp,IR,investment,pce,govt_exp,sent,dummy_2008Q1,dummy_2008Q2,dummy_2008Q3,dummy_2008Q4,dummy_2020Q1,dummy_2020Q2
2002 Q2,3.0669631814751686,0.9615384615384581,6.040190421867808,1.2501616389263281,2.4823054847732395,1.037938439513253,0,0,0,0,0,0
2002 Q3,1.1571857083948478,-0.5714285714285672,5.346499421759621,1.220129630220912,-0.0986357259346593,-7.261778250088568,0,0,0,0,0,0
2002 Q4,1.7147304584093082,-17.049808429118773,-5.339096554243272,1.0251719134439563,2.152307045018942,-3.9343009931245287,0,0,0,0,0,0
2003 Q1,-3.503458937822612,-13.394919168591224,-0.09999605824666524,1.2600975070141684,1.815535846673444,-4.6123260437375695,0,0,0,0,0,0
2003 Q2,2.73983767294943,-0.2666666666666706,2.389847509121834,1.246619151241779,3.812816543600084,11.629845769070446,0,0,0,0,0,0
2003 Q3,1.9696658099083164,-18.449197860962563,7.225506799582182,2.081411740136785,-0.3965986041114644,0.03734129947721154,0,0,0,0,0,0
2003 Q4,2.8441711063823982,-1.967213114754085,-0.9206121020674529,1.1831494962238231,1.676867436361107,2.9861888764464384,0,0,0,0,0,0
2004 Q1,-3.070966805995057,0.6688963210702337,0.17640219700918447,1.7097437279911087,2.0139748684939507,6.560347952156587,0,0,0,0,0,0
2004 Q2,2.5643033536096427,0.6644518272425071,9.458442199467543,1.2217192696189594,0.7218280051161541,-4.761904761904767,0,0,0,0,0,0
2004 Q3,1.0952194699429763,41.91419141914192,4.382458327384664,1.6721696472773218,0.6262825644465231,2.4285714285714466,0,0,0,0,0,0
2004 Q4,2.868736785100179,36.04651162790697,-2.817044713433381,1.9959758551308049,2.4749838739021923,-1.8131101813110284,0,0,0,0,0,0
2005 Q1,-3.10297418159704,26.66666666666666,1.9300082383633121,1.2199163576106509,3.1066506987058817,0.21306818181818787,0,0,0,0,0,0
2005 Q2,2.7344174254656517,19.163292847503378,5.279641681470326,1.7470142505223052,1.0516231438491452,-4.110559886605236,0,0,0,0,0,0
2005 Q3,1.708308812535586,17.553793884484705,7.337662337662332,1.9189071155481852,0.9582674969792704,-2.9933481152993324,0,0,0,0,0,0
2005 Q4,1.6505118190327073,15.02890173410405,-3.9696446824552423,0.9829238130678153,1.6341223152060769,-5.79047619047619,0,0,0,0,0,0
2006 Q1,-2.529496919932861,11.97654941373536,2.3083833868392523,1.6180422693536034,3.291182047658725,7.885159725030322,0,0,0,0,0,0
2006 Q2,2.8284378448560465,10.097232610321626,5.114854842770344,1.401073240416828,0.9192079231075123,-5.77211394302849,0,0,0,0,0,0
2006 Q3,-0.11589329169497953,6.929347826086962,0.9848805114568426,1.3669038760250052,-0.1474368722527597,0.27844073190135266,0,0,0,0,0,0
2006 Q4,2.1657137117769176,0,-7.327994513541125,0.7864896263193977,1.0422846136106223,10.035700119000413,0,0,0,0,0,0
2007 Q1,-3.2670078552725523,0.1905972045743276,-0.6430615340972112,1.535600255992331,2.9612435816276372,-0.2883922134102379,0,0,0,0,0,0
2007 Q2,2.9692011300883614,-0.12682308180088642,5.5449262543739275,1.1136493432324368,1.5832429433038309,-5.748373101952287,0,0,0,0,0,0
2007 Q3,0.5782888595631475,-3.365079365079371,2.445826760308689,1.2360432839007673,0.5823353252321528,-1.3425393172228461,0,0,0,0,0,0
2007 Q4,2.306080959708323,-11.366622864651765,-6.492828082059088,1.4162224316297767,2.2380778892586717,-9.603421461897355,0,0,0,0,0,0
2008 Q1,-2.859696966741032,-29.35507783543366,-1.22994849379654,0.6775931355119003,1.6006395618094027,-5.935483870967739,1,0,0,0,0,0
2008 Q2,1.053236349134501,-34.31269674711438,-1.7345755938081742,1.2537733145861818,11.489564614269042,-18.24417009602195,0,1,0,0,0,0
2008 Q3,-0.8089265362683618,-7.028753993610215,0.7866918618901098,0.2879265014132937,-6.3038383638439495,8.780760626398209,0,0,1,0,0,0
2008 Q4,-0.29672748228402046,-73.8831615120275,-11.46571065472175,-2.4818552885435663,0.8268162606778651,-11.053984575835473,0,0,0,1,0,0
2009 Q1,-4.860119441362942,-63.81578947368421,-14.1836392924927,-0.928306102123766,3.3898981533910133,1.0404624277456698,0,0,0,0,0,0
2009 Q2,2.1015849897706884,-1.8181818181818188,-5.960921334671476,-0.09645133792266503,7.114939672414344,17.048054919908484,0,0,0,0,0,0
2009 Q3,1.045960185046546,-12.962962962962955,8.046764517290761,1.3655601448166799,-1.1935289513545166,0.2932551319648091,0,0,0,0,0,0
2009 Q4,2.5886858269877466,-23.404255319148948,1.2108968522372532,0.6599995975612227,1.5498822030256765,2.5828460038986423,0,0,0,0,0,0
2010 Q1,-3.6588182075634967,11.111111111111116,-2.1074720375911182,0.9678494086289957,3.7055743556071885,5.273159144893103,0,0,0,0,0,0
2010 Q2,3.295732592991185,44.99999999999999,10.430055692878891,1.0522842388345444,1.6932367934023862,0.09025270758125092,0,0,0,0,0,0
2010 Q3,0.97175595518042,-3.4482758620689613,9.193615199288185,0.9074463499693097,0.4778552917950485,-7.619477006312003,0,0,0,0,0,0
2010 Q4,2.060878467682259,0,-6.1296216278745375,1.2578351773168794,1.3589590140927088,4.343582235236698,0,0,0,0,0,0
2011 Q1,-3.7283743376979817,-16.07142857142857,-0.6170691661139371,1.2259116039756268,-1.0930731972391028,2.5257249766136525,0,0,0,0,0,0
2011 Q2,2.3140867761485273,-40.42553191489362,3.123284773622026,1.0876222588446005,2.168255896880522,-1.642335766423364,0,0,0,0,0,0
